time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.004288000000000011,0.004576000000000022,0.004435200000000032,0.004447999999999979,9.185728060420968e-05,0.0,0.0,0.0,0.0,0.0,0.36121899999999973,0.3649259999999999,0.36332399999999987,0.36362199999999995,0.001221547051897798,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,44,0,3072,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004384000000000015,0.004543000000000006,0.004448000000000002,0.00441700000000003,5.6797887284656066e-05,0.0,0.0,0.0,0.0,0.0,0.36557000000000006,0.37190199999999995,0.368093,0.36803800000000003,0.0023930004596739696,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,45,0,3072,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004384000000000015,0.004703999999999951,0.0045375999999999975,0.004575999999999908,0.00013178406580462463,0.0,0.0,0.0,0.0,0.0,0.37196799999999997,0.37522399999999995,0.3738166,0.3742069999999999,0.0010794071706265362,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,46,0,3072,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004319999999999937,0.004447999999999979,0.004383999999999969,0.004384000000000015,4.52548339959459e-05,0.0,0.0,0.0,0.0,0.0,0.38006400000000007,0.3943949999999999,0.38764279999999995,0.38678999999999997,0.004714142017377027,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,47,0,3072,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004384000000000015,0.004608000000000061,0.004479999999999995,0.004480000000000019,7.838367176908322e-05,0.0,0.0,0.0,0.0,0.0,0.3930590000000002,0.394206,0.39366680000000004,0.3936690000000002,0.00036642729155992996,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,48,0,3072,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.00326400000000001,0.0034880000000000566,0.0033280000000000206,0.0032960000000000493,8.095430810032859e-05,0.0,0.0,0.0,0.0,0.0,0.029823999999999955,0.030079999999999815,0.029957799999999934,0.029980999999999883,8.424820472860715e-05,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,1,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004032000000000039,0.004096000000000004,0.004064000000000032,0.004064000000000078,2.02385770250666e-05,0.0,0.0,0.0,0.0,0.0,0.03756799999999998,0.03798399999999993,0.037830199999999994,0.03785500000000002,0.0001422116732198879,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,2,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.003711999999999989,0.003744000000000028,0.003731200000000013,0.0037439999999999145,1.567673435378503e-05,0.0,0.0,0.0,0.0,0.0,0.04534500000000003,0.04588900000000001,0.04556219999999998,0.045568999999999964,0.00018932870886372575,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,3,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004031999999999925,0.004064000000000078,0.004057399999999984,0.004063999999999964,1.2705904139444375e-05,0.0,0.0,0.0,0.0,0.0,0.058976999999999974,0.059168999999999985,0.0590728,0.05907299999999998,8.564204574855229e-05,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,4,0,3136,False,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.004128000000000043,0.004287000000000035,0.004198199999999997,0.004192000000000007,5.472988214860135e-05,0.0,0.0,0.0,0.0,0.0,0.06678399999999989,0.06771299999999997,0.06722039999999997,0.06717099999999994,0.00035259415763738396,0.0,0.0,0.0,0.0,0.0,3584,28,4,16,1,4096,5,0,3136,False,AttentionBackend.FLASHINFER
